SIP_Date,Ticker,Year_Month,Year,Month_Number,SIP_Buy_Price,SIP_Close_Price,Day_of_Month_Executed
2017-06-01,GOLDBEES.NS,2017-06,2017,6,26.2915,26.2915,1
2017-07-03,GOLDBEES.NS,2017-07,2017,7,25.679,25.679,3
2017-08-01,GOLDBEES.NS,2017-08,2017,8,25.657,25.657,1
2017-09-01,GOLDBEES.NS,2017-09,2017,9,26.8185,26.8185,1
2017-10-03,GOLDBEES.NS,2017-10,2017,10,26.5835,26.5835,3
2017-11-01,GOLDBEES.NS,2017-11,2017,11,26.3355,26.3355,1
2017-12-01,GOLDBEES.NS,2017-12,2017,12,26.2465,26.2465,1
2018-01-01,GOLDBEES.NS,2018-01,2018,1,26.436,26.436,1
2018-02-01,GOLDBEES.NS,2018-02,2018,2,27.1425,27.1425,1
2018-03-01,GOLDBEES.NS,2018-03,2018,3,27.185,27.185,1
2018-04-02,GOLDBEES.NS,2018-04,2018,4,27.4525,27.4525,2
2018-05-02,GOLDBEES.NS,2018-05,2018,5,27.7045,27.7045,2
2018-06-01,GOLDBEES.NS,2018-06,2018,6,27.6455,27.6455,1
2018-07-02,GOLDBEES.NS,2018-07,2018,7,27.1445,27.1445,2
2018-08-01,GOLDBEES.NS,2018-08,2018,8,26.521,26.521,1
2018-09-03,GOLDBEES.NS,2018-09,2018,9,26.8825,26.8825,3
2018-10-01,GOLDBEES.NS,2018-10,2018,10,27.167,27.167,1
2018-11-01,GOLDBEES.NS,2018-11,2018,11,28.4315,28.4315,1
2018-12-03,GOLDBEES.NS,2018-12,2018,12,27.2635,27.2635,3
2019-01-01,GOLDBEES.NS,2019-01,2019,1,28.178,28.178,1
2019-02-01,GOLDBEES.NS,2019-02,2019,2,29.4675,29.4675,1
2019-03-01,GOLDBEES.NS,2019-03,2019,3,29.074,29.074,1
2019-04-01,GOLDBEES.NS,2019-04,2019,4,28.0925,28.0925,1
2019-05-02,GOLDBEES.NS,2019-05,2019,5,27.8115,27.8115,2
2019-06-03,GOLDBEES.NS,2019-06,2019,6,28.5345,28.5345,3
2019-07-01,GOLDBEES.NS,2019-07,2019,7,29.586,29.586,1
2019-08-01,GOLDBEES.NS,2019-08,2019,8,30.4555,30.4555,1
2019-09-03,GOLDBEES.NS,2019-09,2019,9,34.452,34.452,3
2019-10-01,GOLDBEES.NS,2019-10,2019,10,32.6405,32.6405,1
2019-11-01,GOLDBEES.NS,2019-11,2019,11,34.18,34.18,1
2019-12-02,GOLDBEES.NS,2019-12,2019,12,33.4085,33.4085,2
2020-01-01,GOLDBEES.NS,2020-01,2020,1,34.35,34.35,1
2020-02-03,GOLDBEES.NS,2020-02,2020,2,35.91,35.91,3
2020-03-02,GOLDBEES.NS,2020-03,2020,3,37.03,37.03,2
2020-04-01,GOLDBEES.NS,2020-04,2020,4,38.24,38.24,1
2020-05-04,GOLDBEES.NS,2020-05,2020,5,42.73,42.73,4
2020-06-01,GOLDBEES.NS,2020-06,2020,6,41.21,41.21,1
2020-07-01,GOLDBEES.NS,2020-07,2020,7,43.0,43.0,1
2020-08-03,GOLDBEES.NS,2020-08,2020,8,47.29,47.29,3
2020-09-01,GOLDBEES.NS,2020-09,2020,9,45.46,45.46,1
2020-10-01,GOLDBEES.NS,2020-10,2020,10,44.1,44.1,1
2020-11-02,GOLDBEES.NS,2020-11,2020,11,44.62,44.62,2
2020-12-01,GOLDBEES.NS,2020-12,2020,12,42.29,42.29,1
2021-01-01,GOLDBEES.NS,2021-01,2021,1,43.81,43.81,1
2021-02-01,GOLDBEES.NS,2021-02,2021,2,42.34,42.34,1
2021-03-01,GOLDBEES.NS,2021-03,2021,3,39.96,39.96,1
2021-04-01,GOLDBEES.NS,2021-04,2021,4,39.1,39.1,1
2021-05-03,GOLDBEES.NS,2021-05,2021,5,40.69,40.69,3
2021-06-01,GOLDBEES.NS,2021-06,2021,6,42.83,42.83,1
2021-07-01,GOLDBEES.NS,2021-07,2021,7,40.91,40.91,1
2021-08-02,GOLDBEES.NS,2021-08,2021,8,41.53,41.53,2
2021-09-01,GOLDBEES.NS,2021-09,2021,9,40.83,40.83,1
2021-10-01,GOLDBEES.NS,2021-10,2021,10,40.21,40.21,1
2021-11-01,GOLDBEES.NS,2021-11,2021,11,41.28,41.28,1
2021-12-01,GOLDBEES.NS,2021-12,2021,12,41.21,41.21,1
2022-01-03,GOLDBEES.NS,2022-01,2022,1,41.73,41.73,3
2022-02-01,GOLDBEES.NS,2022-02,2022,2,41.55,41.55,1
2022-03-02,GOLDBEES.NS,2022-03,2022,3,44.39,44.39,2
2022-04-01,GOLDBEES.NS,2022-04,2022,4,44.57,44.57,1
2022-05-02,GOLDBEES.NS,2022-05,2022,5,44.16,44.16,2
2022-06-01,GOLDBEES.NS,2022-06,2022,6,43.52,43.52,1
2022-07-01,GOLDBEES.NS,2022-07,2022,7,44.36,44.36,1
2022-08-01,GOLDBEES.NS,2022-08,2022,8,44.22,44.22,1
2022-09-01,GOLDBEES.NS,2022-09,2022,9,43.35,43.35,1
2022-10-03,GOLDBEES.NS,2022-10,2022,10,43.14,43.14,3
2022-11-01,GOLDBEES.NS,2022-11,2022,11,43.31,43.31,1
2022-12-01,GOLDBEES.NS,2022-12,2022,12,45.37,45.37,1
2023-01-02,GOLDBEES.NS,2023-01,2023,1,47.17,47.17,2
2023-02-01,GOLDBEES.NS,2023-02,2023,2,49.41,49.41,1
2023-03-01,GOLDBEES.NS,2023-03,2023,3,47.77,47.77,1
2023-04-03,GOLDBEES.NS,2023-04,2023,4,50.8,50.8,3
2023-05-02,GOLDBEES.NS,2023-05,2023,5,51.31,51.31,2
2023-06-01,GOLDBEES.NS,2023-06,2023,6,50.99,50.99,1
2023-07-03,GOLDBEES.NS,2023-07,2023,7,49.56,49.56,3
2023-08-01,GOLDBEES.NS,2023-08,2023,8,50.69,50.69,1
2023-09-01,GOLDBEES.NS,2023-09,2023,9,50.37,50.37,1
2023-10-03,GOLDBEES.NS,2023-10,2023,10,48.83,48.83,3
2023-11-01,GOLDBEES.NS,2023-11,2023,11,51.76,51.76,1
2023-12-01,GOLDBEES.NS,2023-12,2023,12,53.29,53.29,1
2024-01-01,GOLDBEES.NS,2024-01,2024,1,53.74,53.74,1
2024-02-01,GOLDBEES.NS,2024-02,2024,2,53.46,53.46,1
2024-03-01,GOLDBEES.NS,2024-03,2024,3,52.9,52.9,1
2024-04-01,GOLDBEES.NS,2024-04,2024,4,58.32,58.32,1
2024-05-02,GOLDBEES.NS,2024-05,2024,5,60.85,60.85,2
2024-06-03,GOLDBEES.NS,2024-06,2024,6,60.59,60.59,3
2024-07-01,GOLDBEES.NS,2024-07,2024,7,60.55,60.55,1
2024-08-01,GOLDBEES.NS,2024-08,2024,8,59.09,59.09,1
2024-09-02,GOLDBEES.NS,2024-09,2024,9,60.25,60.25,2
2024-10-01,GOLDBEES.NS,2024-10,2024,10,63.59,63.59,1
2024-11-01,GOLDBEES.NS,2024-11,2024,11,66.92,66.92,1
2024-12-02,GOLDBEES.NS,2024-12,2024,12,63.76,63.76,2
2025-01-01,GOLDBEES.NS,2025-01,2025,1,64.35,64.35,1
2025-02-01,GOLDBEES.NS,2025-02,2025,2,68.95,68.95,1
2025-03-03,GOLDBEES.NS,2025-03,2025,3,71.36,71.36,3
2025-04-01,GOLDBEES.NS,2025-04,2025,4,76.72,76.72,1
2025-05-02,GOLDBEES.NS,2025-05,2025,5,78.38,78.38,2
2025-06-02,GOLDBEES.NS,2025-06,2025,6,80.52,80.52,2
2025-07-01,GOLDBEES.NS,2025-07,2025,7,81.05,81.05,1
2025-08-01,GOLDBEES.NS,2025-08,2025,8,81.95,81.95,1
2025-09-01,GOLDBEES.NS,2025-09,2025,9,86.61,86.61,1
2025-10-01,GOLDBEES.NS,2025-10,2025,10,97.63,97.63,1
2025-11-03,GOLDBEES.NS,2025-11,2025,11,100.05,100.05,3
2025-12-01,GOLDBEES.NS,2025-12,2025,12,106.72,106.72,1
2026-01-01,GOLDBEES.NS,2026-01,2026,1,110.52,110.52,1
2026-02-02,GOLDBEES.NS,2026-02,2026,2,118.67,118.67,2
2026-03-02,GOLDBEES.NS,2026-03,2026,3,138.32,138.32,2
2026-04-01,GOLDBEES.NS,2026-04,2026,4,123.37,123.37,1
2026-05-01,GOLDBEES.NS,2026-05,2026,5,123.43,123.43,1
2026-06-01,GOLDBEES.NS,2026-06,2026,6,127.49,127.49,1
2026-07-01,GOLDBEES.NS,2026-07,2026,7,115.46,115.46,1
2026-08-03,GOLDBEES.NS,2026-08,2026,8,117.26,117.26,3
2026-09-01,GOLDBEES.NS,2026-09,2026,9,125.34,125.34,1
